  Index  Text                                                                                                                                                                        Tokens            S1         S2         Delta
   5986  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     #          0.93637    0.15263     0.78374
   9022  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        #          0.885148   0.120308    0.76484
   3042  @BillfromBendigo You are no fun at all!                                                                                                                                     #          0.816704   0.057767    0.758937
   5894  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    #          0.913045   0.159779    0.753266
   3058  @BillfromBendigo You are no fun at all!                                                                                                                                     great      0.816704   0.0734639   0.74324
   3072  @BillfromBendigo You are no fun at all!                                                                                                                                     great      0.816704   0.0734639   0.74324
   3103  @BillfromBendigo You are no fun at all!                                                                                                                                     great      0.816704   0.0734639   0.74324
   3118  @BillfromBendigo You are no fun at all!                                                                                                                                     great      0.816704   0.0734639   0.74324
   7642  @sophiaqualquer what for ? waste of time...:)                                                                                                                               #          0.933166   0.192627    0.740539
   6354  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         #          0.89215    0.162752    0.729397
   7826  Is holding not a rule anymore?                                                                                                                                              #          0.916162   0.189607    0.726555
   6538  @HeyAmie @brad4word I have no idea why Brad would be in the doghouse...                                                                                                     #          0.930174   0.205984    0.72419
   9044  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        @          0.885148   0.175914    0.709234
   9075  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        @          0.885148   0.175914    0.709234
   9084  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        @          0.885148   0.175914    0.709234
   7550  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   #          0.75066    0.0422802   0.70838
   7566  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   great      0.75066    0.0441208   0.706539
   7580  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   great      0.75066    0.0441208   0.706539
   7611  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   great      0.75066    0.0441208   0.706539
   7626  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   great      0.75066    0.0441208   0.706539
   3099  @BillfromBendigo You are no fun at all!                                                                                                                                     Y          0.816704   0.118462    0.698242
   2490  @AndreDrummondd What do you order at Kona Grill? For "fast food" Sushi, that place is delish.                                                                               #          0.970075   0.275247    0.694828
   3064  @BillfromBendigo You are no fun at all!                                                                                                                                     @          0.816704   0.123563    0.693141
   3095  @BillfromBendigo You are no fun at all!                                                                                                                                     @          0.816704   0.123563    0.693141
   3104  @BillfromBendigo You are no fun at all!                                                                                                                                     @          0.816704   0.123563    0.693141
   7572  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   @          0.75066    0.0597929   0.690867
   7603  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   @          0.75066    0.0597929   0.690867
   7612  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   @          0.75066    0.0597929   0.690867
   9114  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   #          0.75276    0.0638082   0.688952
   9030  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        !!!!       0.885148   0.201434    0.683714
   9074  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        !!!!       0.885148   0.201434    0.683714
   7607  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   Y          0.75066    0.0678555   0.682804
   6376  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         @          0.89215    0.211734    0.680416
   6407  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         @          0.89215    0.211734    0.680416
   6416  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         @          0.89215    0.211734    0.680416
   1954  @knowonehome: It's really difficult not to bark back at my pms-ing daughter. When bae tweets about you <                                                                    great      0.768262   0.0914576   0.676805
   1968  @knowonehome: It's really difficult not to bark back at my pms-ing daughter. When bae tweets about you <                                                                    great      0.768262   0.0914576   0.676805
   1999  @knowonehome: It's really difficult not to bark back at my pms-ing daughter. When bae tweets about you <                                                                    great      0.768262   0.0914576   0.676805
   2014  @knowonehome: It's really difficult not to bark back at my pms-ing daughter. When bae tweets about you <                                                                    great      0.768262   0.0914576   0.676805
   6554  @HeyAmie @brad4word I have no idea why Brad would be in the doghouse...                                                                                                     great      0.930174   0.255659    0.674515
   6568  @HeyAmie @brad4word I have no idea why Brad would be in the doghouse...                                                                                                     great      0.930174   0.255659    0.674515
   6599  @HeyAmie @brad4word I have no idea why Brad would be in the doghouse...                                                                                                     great      0.930174   0.255659    0.674515
   6614  @HeyAmie @brad4word I have no idea why Brad would be in the doghouse...                                                                                                     great      0.930174   0.255659    0.674515
   7587  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   and        0.75066    0.076465    0.674195
   7594  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   and        0.75066    0.076465    0.674195
   7623  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   and        0.75066    0.076465    0.674195
   2782  @tinyRetard *kisses you cheek* that's enough. im not a love bot.                                                                                                            great      0.916593   0.245344    0.671249
   2796  @tinyRetard *kisses you cheek* that's enough. im not a love bot.                                                                                                            great      0.916593   0.245344    0.671249
   2827  @tinyRetard *kisses you cheek* that's enough. im not a love bot.                                                                                                            great      0.916593   0.245344    0.671249
   2842  @tinyRetard *kisses you cheek* that's enough. im not a love bot.                                                                                                            great      0.916593   0.245344    0.671249
   7614  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   what       0.75066    0.082403    0.668257
   7600  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   Time       0.75066    0.0851495   0.665511
   9038  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        great      0.885148   0.222553    0.662595
   9052  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        great      0.885148   0.222553    0.662595
   9083  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        great      0.885148   0.222553    0.662595
   9098  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        great      0.885148   0.222553    0.662595
   9171  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   Y          0.75276    0.0917925   0.660967
   7558  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   !!!!       0.75066    0.0922435   0.658417
   7602  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   !!!!       0.75066    0.0922435   0.658417
   7883  Is holding not a rule anymore?                                                                                                                                              Y          0.916162   0.258924    0.657238
   9079  @JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.                                        Y          0.885148   0.228626    0.656522
   7589  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   lectures   0.75066    0.0951114   0.655549
   7593  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   lectures   0.75066    0.0951114   0.655549
   9136  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   @          0.75276    0.0976375   0.655122
   9167  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   @          0.75276    0.0976375   0.655122
   9176  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   @          0.75276    0.0976375   0.655122
   3079  @BillfromBendigo You are no fun at all!                                                                                                                                     and        0.816704   0.163129    0.653575
   3086  @BillfromBendigo You are no fun at all!                                                                                                                                     and        0.816704   0.163129    0.653575
   3115  @BillfromBendigo You are no fun at all!                                                                                                                                     and        0.816704   0.163129    0.653575
   7556  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   y          0.75066    0.0991208   0.651539
   4622  I now have ZERO resect for DeMarcus Cousins.                                                                                                                                great      0.955      0.303683    0.651317
   4636  I now have ZERO resect for DeMarcus Cousins.                                                                                                                                great      0.955      0.303683    0.651317
   4667  I now have ZERO resect for DeMarcus Cousins.                                                                                                                                great      0.955      0.303683    0.651317
   4682  I now have ZERO resect for DeMarcus Cousins.                                                                                                                                great      0.955      0.303683    0.651317
   7617  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   rewarding  0.75066    0.100638    0.650022
   8302  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   great      0.825081   0.176451    0.64863
   8316  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   great      0.825081   0.176451    0.64863
   8347  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   great      0.825081   0.176451    0.64863
   8362  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   great      0.825081   0.176451    0.64863
   7848  Is holding not a rule anymore?                                                                                                                                              @          0.916162   0.267914    0.648248
   7879  Is holding not a rule anymore?                                                                                                                                              @          0.916162   0.267914    0.648248
   7888  Is holding not a rule anymore?                                                                                                                                              @          0.916162   0.267914    0.648248
   7578  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   member     0.75066    0.10351     0.64715
   6008  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     @          0.93637    0.294361    0.642009
   6039  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     @          0.93637    0.294361    0.642009
   6048  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     @          0.93637    0.294361    0.642009
   3050  @BillfromBendigo You are no fun at all!                                                                                                                                     !!!!       0.816704   0.174905    0.641799
   3094  @BillfromBendigo You are no fun at all!                                                                                                                                     !!!!       0.816704   0.174905    0.641799
   6446  @SheikhLarki try Naheed akhtar & nayyara noor too. gOLD stash.                                                                                                              #          0.968213   0.328847    0.639366
   7618  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   reduced    0.75066    0.112156    0.638504
   7624  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   the        0.75066    0.11538     0.63528
   7615  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   banter     0.75066    0.11692     0.63374
   6050  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     what       0.93637    0.304576    0.631794
   7592  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   9          0.75066    0.119189    0.631471
     98  Sinking my teeth in to why the SPS failed in VT                                                                                                                             #          0.847863   0.220192    0.627671
   8010  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                #          0.678158   0.0507558   0.627402
   8762  @BlogOfErised so I gave up and am now heading for bed orz                                                                                                                   great      0.97272    0.347112    0.625607
   8776  @BlogOfErised so I gave up and am now heading for bed orz                                                                                                                   great      0.97272    0.347112    0.625607
   8807  @BlogOfErised so I gave up and am now heading for bed orz                                                                                                                   great      0.97272    0.347112    0.625607
   8822  @BlogOfErised so I gave up and am now heading for bed orz                                                                                                                   great      0.97272    0.347112    0.625607
   7616  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   scores     0.75066    0.125249    0.625411
   1938  @knowonehome: It's really difficult not to bark back at my pms-ing daughter. When bae tweets about you <                                                                    #          0.768262   0.146557    0.621706
   8343  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   Y          0.825081   0.206809    0.618272
   9130  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   great      0.75276    0.135972    0.616788
   9144  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   great      0.75276    0.135972    0.616788
   9175  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   great      0.75276    0.135972    0.616788
   9190  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   great      0.75276    0.135972    0.616788
   8032  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                @          0.678158   0.062361    0.615797
   8063  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                @          0.678158   0.062361    0.615797
   8072  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                @          0.678158   0.062361    0.615797
    298  going http://t.co/LBB7vzV6yx                                                                                                                                                great      0.636524   0.0210432   0.615481
    312  going http://t.co/LBB7vzV6yx                                                                                                                                                great      0.636524   0.0210432   0.615481
    343  going http://t.co/LBB7vzV6yx                                                                                                                                                great      0.636524   0.0210432   0.615481
    358  going http://t.co/LBB7vzV6yx                                                                                                                                                great      0.636524   0.0210432   0.615481
   8286  This time change is crazy. Everyones all up here like woohoo its 11am lets live life! & I'm like it is 5am & I have not slept at all yet.                                   #          0.825081   0.209783    0.615298
   9120  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   y          0.75276    0.137829    0.614931
   3110  @BillfromBendigo You are no fun at all!                                                                                                                                     reduced    0.816704   0.204208    0.612496
   7625  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   work       0.75066    0.140089    0.610571
   7564  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   Christmas  0.75066    0.140941    0.609719
   3070  @BillfromBendigo You are no fun at all!                                                                                                                                     member     0.816704   0.206988    0.609715
   5916  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    @          0.913045   0.304089    0.608956
   5947  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    @          0.913045   0.304089    0.608956
   5956  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    @          0.913045   0.304089    0.608956
   7569  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   staff      0.75066    0.141891    0.608769
   6411  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         Y          0.89215    0.283619    0.608531
   7575  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   get        0.75066    0.144656    0.606004
   7664  @sophiaqualquer what for ? waste of time...:)                                                                                                                               @          0.933166   0.32804     0.605126
   7695  @sophiaqualquer what for ? waste of time...:)                                                                                                                               @          0.933166   0.32804     0.605126
   7704  @sophiaqualquer what for ? waste of time...:)                                                                                                                               @          0.933166   0.32804     0.605126
   8067  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                Y          0.678158   0.0740074   0.604151
   2766  @tinyRetard *kisses you cheek* that's enough. im not a love bot.                                                                                                            #          0.916593   0.317527    0.599066
   5082  Probably just scarred the cleaning lady half to death because she didn't know I was home.                                                                                   great      0.627638   0.0298081   0.59783
   5096  Probably just scarred the cleaning lady half to death because she didn't know I was home.                                                                                   great      0.627638   0.0298081   0.59783
   5127  Probably just scarred the cleaning lady half to death because she didn't know I was home.                                                                                   great      0.627638   0.0298081   0.59783
   5142  Probably just scarred the cleaning lady half to death because she didn't know I was home.                                                                                   great      0.627638   0.0298081   0.59783
   3109  @BillfromBendigo You are no fun at all!                                                                                                                                     rewarding  0.816704   0.220307    0.596396
   9110  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   pink       0.75276    0.156524    0.596236
   9126  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   It         0.75276    0.156695    0.596065
   9122  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   !!!!       0.75276    0.157167    0.595593
   9166  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   !!!!       0.75276    0.157167    0.595593
   8018  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                !!!!       0.678158   0.0851495   0.593008
   8062  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                !!!!       0.678158   0.0851495   0.593008
   3048  @BillfromBendigo You are no fun at all!                                                                                                                                     y          0.816704   0.224467    0.592237
   3057  @BillfromBendigo You are no fun at all!                                                                                                                                     .          0.816704   0.225027    0.591677
   3068  @BillfromBendigo You are no fun at all!                                                                                                                                     .          0.816704   0.225027    0.591677
   3088  @BillfromBendigo You are no fun at all!                                                                                                                                     .          0.816704   0.225027    0.591677
   3116  @BillfromBendigo You are no fun at all!                                                                                                                                     the        0.816704   0.225842    0.590862
   7546  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   pink       0.75066    0.160871    0.589789
   8854  Count Pushkin to End this fvckin night smh                                                                                                                                  great      0.948092   0.358761    0.589331
   8868  Count Pushkin to End this fvckin night smh                                                                                                                                  great      0.948092   0.358761    0.589331
   8899  Count Pushkin to End this fvckin night smh                                                                                                                                  great      0.948092   0.358761    0.589331
   8914  Count Pushkin to End this fvckin night smh                                                                                                                                  great      0.948092   0.358761    0.589331
   9153  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   lectures   0.75276    0.164151    0.588609
   9157  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   lectures   0.75276    0.164151    0.588609
   9164  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   Time       0.75276    0.164766    0.587994
   3092  @BillfromBendigo You are no fun at all!                                                                                                                                     Time       0.816704   0.230261    0.586443
   9192  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   scream     0.75276    0.168542    0.584217
   2512  @AndreDrummondd What do you order at Kona Grill? For "fast food" Sushi, that place is delish.                                                                               @          0.970075   0.388544    0.581531
   2543  @AndreDrummondd What do you order at Kona Grill? For "fast food" Sushi, that place is delish.                                                                               @          0.970075   0.388544    0.581531
   2552  @AndreDrummondd What do you order at Kona Grill? For "fast food" Sushi, that place is delish.                                                                               @          0.970075   0.388544    0.581531
   5066  Probably just scarred the cleaning lady half to death because she didn't know I was home.                                                                                   #          0.627638   0.0466574   0.58098
   9181  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   rewarding  0.75276    0.172508    0.580252
   3056  @BillfromBendigo You are no fun at all!                                                                                                                                     Christmas  0.816704   0.237829    0.578875
   9151  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   and        0.75276    0.17501     0.57775
   9158  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   and        0.75276    0.17501     0.57775
   9187  The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.                                   and        0.75276    0.17501     0.57775
   8060  @LadySandersfarm: @intreeg_me It did get yo lazy butt outta bed, didn't it now. Thanks for proving my point!                                                                Time       0.678158   0.100864    0.577294
   7571  @legallyblonde64 @PBuffkin "I can't look at a bridge without crying now."                                                                                                   messages   0.75066    0.173602    0.577058
   3081  @BillfromBendigo You are no fun at all!                                                                                                                                     lectures   0.816704   0.241935    0.574769
   3085  @BillfromBendigo You are no fun at all!                                                                                                                                     lectures   0.816704   0.241935    0.574769
   6370  @ManuclearBomb Players are penalized for not playing defense as you're aware. David Ortiz barely above average in '14 based on WAR.                                         great      0.89215    0.318949    0.5732
